timestamp,open,high,low,close,volume
2025-01-01 00:00:00+00:00,93576.0,93702.15,93489.03,93656.18,175.85673
2025-01-01 00:15:00+00:00,93656.19,93898.05,93614.95,93761.9,95.41749
2025-01-01 00:30:00+00:00,93761.9,93963.67,93761.89,93885.01,94.36416
2025-01-01 00:45:00+00:00,93885.0,94509.42,93864.44,94401.14,390.35172
2025-01-01 01:00:00+00:00,94401.13,94408.72,93880.0,94153.05,284.57018
2025-01-01 01:15:00+00:00,94153.04,94153.05,93819.6,93825.86,102.66232
2025-01-01 01:30:00+00:00,93825.86,93989.37,93825.86,93923.14,78.97889
2025-01-01 01:45:00+00:00,93923.14,93945.25,93578.77,93607.74,120.32317
2025-01-01 02:00:00+00:00,93607.74,93805.04,93594.56,93800.0,104.71689
2025-01-01 02:15:00+00:00,93800.0,93805.16,93689.48,93742.52,48.21903
2025-01-01 02:30:00+00:00,93742.51,93921.86,93742.51,93921.86,39.8339
2025-01-01 02:45:00+00:00,93921.86,94105.12,93912.0,94098.91,84.01063
2025-01-01 03:00:00+00:00,94098.9,94098.91,93959.89,93976.01,65.06529
2025-01-01 03:15:00+00:00,93976.01,93976.01,93766.23,93830.89,47.42318
2025-01-01 03:30:00+00:00,93830.9,93891.15,93800.0,93857.04,67.83649
2025-01-01 03:45:00+00:00,93857.03,93867.35,93728.22,93838.04,40.66806
2025-01-01 04:00:00+00:00,93838.04,93838.04,93689.96,93711.19,87.46863
2025-01-01 04:15:00+00:00,93711.18,93771.99,93679.07,93738.09,53.53604
2025-01-01 04:30:00+00:00,93738.09,93738.1,93616.82,93645.13,45.89524
2025-01-01 04:45:00+00:00,93645.12,93670.0,93500.0,93553.91,92.56918
2025-01-01 05:00:00+00:00,93553.91,93680.0,93547.4,93638.5,44.42431
2025-01-01 05:15:00+00:00,93638.5,93933.33,93614.5,93891.74,96.81147
2025-01-01 05:30:00+00:00,93891.74,93937.19,93799.25,93857.65,44.4742
2025-01-01 05:45:00+00:00,93857.66,93862.11,93792.01,93792.02,23.46942
2025-01-01 06:00:00+00:00,93792.02,93792.02,93603.21,93603.22,48.12812
2025-01-01 06:15:00+00:00,93603.21,93701.39,93603.21,93654.5,46.53256
2025-01-01 06:30:00+00:00,93654.5,93720.01,93568.38,93720.0,134.37648
2025-01-01 06:45:00+00:00,93720.01,93757.58,93672.34,93757.58,43.2413
2025-01-01 07:00:00+00:00,93757.57,93757.58,93664.08,93685.25,29.27357
2025-01-01 07:15:00+00:00,93685.25,93786.04,93677.5,93786.03,43.36678
2025-01-01 07:30:00+00:00,93786.03,93800.0,93727.27,93741.15,37.98335
2025-01-01 07:45:00+00:00,93741.15,93767.76,93664.09,93684.1,87.31088
2025-01-01 08:00:00+00:00,93684.11,93756.02,93677.44,93746.39,72.0457
2025-01-01 08:15:00+00:00,93746.39,93746.4,93304.0,93416.41,245.3307
2025-01-01 08:30:00+00:00,93416.41,93527.21,93400.0,93476.46,79.27209
2025-01-01 08:45:00+00:00,93476.46,93547.83,93320.0,93428.46,85.06324
2025-01-01 09:00:00+00:00,93428.47,93486.29,93217.93,93327.15,114.48117
2025-01-01 09:15:00+00:00,93327.15,93327.15,92888.0,93141.91,317.30535
2025-01-01 09:30:00+00:00,93141.91,93302.52,93001.0,93106.31,230.12665
2025-01-01 09:45:00+00:00,93106.3,93446.48,93048.64,93413.06,136.58456
2025-01-01 10:00:00+00:00,93413.07,93534.95,93357.67,93384.27,83.96199
2025-01-01 10:15:00+00:00,93384.26,93536.75,93384.26,93410.25,54.91381
2025-01-01 10:30:00+00:00,93410.25,93509.74,93284.0,93397.96,65.35825
2025-01-01 10:45:00+00:00,93397.96,93416.64,93292.5,93326.23,61.31787
